sno,occupation_title,nco_2015,nco_2004,division,subdivision,group,family,description
1,"General Manager, Bank",1211.0100,1307.10,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers,"The General Manager, Bank encompasses the leadership and operational oversight of a bank’s overall strategy and execution. This role involves the management of all aspects of bank operations, from financial planning and risk management to employee supervision and customer service.  The General Manager is responsible for ensuring the bank’s financial health, regulatory compliance, and strategic objectives, utilizing advanced financial modeling and analytical skills.  They oversee the implementation of policies and procedures, and contribute to the bank’s long-term growth and profitability."
2,"General Manager, Insurance",1211.0200,1307.20,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers,"The General Manager, Insurance is a professional leader responsible for overseeing the overall operations and strategic direction of an insurance company or related organization. This role encompasses all aspects of business management, including financial planning, risk management, regulatory compliance, and team leadership.  The General Manager utilizes data analysis and strategic planning to ensure the company’s financial stability, operational efficiency, and customer satisfaction. They are accountable for achieving organizational goals and maximizing profitability through effective management and decision-making."
3,"Purser, Ship",1211.0300,1231.10,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers,"The Purser, Ship, is a professional responsible for the safe and efficient operation of a vessel. Their primary duties include overseeing the safety of the crew and cargo, ensuring compliance with regulations, and maintaining the vessel’s equipment and systems.  They also play a crucial role in managing logistics and coordinating various maritime operations. The Purser’s responsibilities encompass a wide range of tasks related to vessel maintenance, security, and overall operational well-being."
4,"Finance Managers, Others",1211.9900,1231.9,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers,"Finance Managers, Others encompass a diverse group of professionals responsible for the management and oversight of financial activities within various organizations. These individuals typically oversee financial planning, budgeting, and analysis, ensuring the company’s financial stability and strategic goals. They often work with complex financial data, analyze market trends, and make recommendations to optimize profitability and resource allocation. Furthermore, Finance Managers, Others frequently contribute to risk management and compliance within the company’s financial operations."
5,"Director, Quarry",1120.1500,1213.70,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Quarry is a senior management position responsible for overseeing all aspects of quarry operations within a defined geographic area. This role encompasses strategic planning, financial management, safety and regulatory compliance, and resource allocation for the quarry’s activities. The Director utilizes data analysis and operational expertise to optimize quarry throughput, minimize environmental impact, and ensure the long-term viability of the facility. They also lead a team of personnel, implementing policies and procedures to achieve operational goals."
6,Executive Chef,1120.3100,1217.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Executive Chef is a highly skilled professional responsible for overseeing all aspects of food preparation, menu development, and kitchen operations within a restaurant or establishment.  They analyze recipes, manage staff, ensure food quality and consistency, and maintain a safe and efficient kitchen environment.  The role requires a strong understanding of culinary techniques, food safety standards, and budgetary management.  Ultimately, the Executive Chef is responsible for the overall success of the culinary department and contributing to the restaurant’s brand image."
7,"Director, Well Drilling",1120.1600,1213.80,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Well Drilling is a senior management role responsible for overseeing the strategic planning, execution, and performance of well drilling operations within an organization. This individual is accountable for ensuring efficient and safe drilling practices, optimizing well placement, and managing associated costs. They will also be involved in resource allocation, technical expertise, and ensuring compliance with regulatory standards and safety protocols. The Director, Well Drilling plays a crucial role in driving operational excellence and maximizing the return on investment derived from well drilling activities."
8,"Working Proprietor, Recreation and Entertainment",1120.3200,1218.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The occupation of Working Proprietor, Recreation and Entertainment encompasses individuals who manage and operate recreational facilities, entertainment venues, and associated businesses. This role typically involves overseeing the operational aspects of establishments such as amusement parks, theaters, resorts, or event venues.  The primary focus is on the strategic planning, financial management, and overall success of these businesses, encompassing activities like staffing, marketing, and ensuring a high-quality guest or patron experience.  This position often requires a blend of business acumen and a strong understanding of the leisure and entertainment industry."
9,"Working Proprietor, Electricity",1120.0100,1211.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The occupation of Working Proprietor, Electricity represents a professional role focused on the operation and management of electrical systems and infrastructure. This individual typically oversees the installation, maintenance, and repair of electrical equipment and services within a specific geographic area. Their responsibilities include ensuring compliance with safety regulations, managing technical aspects of electrical systems, and overseeing the overall performance of electrical facilities.  The role demands a strong understanding of electrical principles and practical skills in overseeing electrical projects."
10,"Working Proprietor, Manufacturing/Proprietor, Manufacturing",1120.1700,1214.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Working Proprietor, Manufacturing/Proprietor, Manufacturing is a professional employed in the manufacturing sector, responsible for the overall management and operation of a business. This role typically involves strategic planning, financial oversight, and operational efficiency, ensuring the smooth functioning of a manufacturing facility or production line.  They oversee production processes, inventory management, and quality control, while also fostering a positive work environment and ensuring compliance with industry regulations.  Their responsibilities encompass maintaining profitability, implementing operational improvements, and overseeing team leadership within a manufacturing environment."
11,"Director, Recreation and Entertainment",1120.3300,1218.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Recreation and Entertainment, is a senior leadership role responsible for overseeing all aspects of recreational and entertainment programs and facilities within a specific organization or jurisdiction. This individual oversees the planning, budgeting, and execution of activities designed to engage the public and promote well-being.  They are responsible for ensuring the delivery of high-quality programs, maintaining facility standards, and fostering positive relationships with stakeholders.  The role requires a significant understanding of community needs and a focus on creating engaging and accessible recreational experiences."
12,"Working Proprietor, Gas",1120.0200,1211.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietors, Gas represent individuals responsible for the overall management and operation of gas-related businesses. These professionals oversee all aspects of a company’s operations, including financial management, strategic planning, and regulatory compliance within the gas industry. They typically hold significant decision-making authority and are accountable for the profitability and safety of the gas business. Their roles frequently involve complex logistics, resource allocation, and ensuring adherence to industry standards."
13,Director Manufacturing,1120.1800,1214.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director Manufacturing oversees all aspects of manufacturing operations within a company, ensuring efficient and effective production processes. This role encompasses strategic planning, resource allocation, and performance management across various manufacturing facilities. The Director Manufacturing is responsible for driving operational improvements, maintaining quality standards, and implementing initiatives to optimize production output.  They will also be accountable for ensuring compliance with industry regulations and safety protocols."
14,"station Director, Radio/TV",1120.3400,1218.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Station Director, Radio/TV is a senior management position responsible for the operational and strategic direction of a radio or television station. This role encompasses the overall management of all aspects of the station’s broadcasting operations, including programming, production, financial performance, and staff development. The Station Director is accountable for ensuring the station’s success through strategic planning, budget management, and effective communication with stakeholders.  They oversee all operational elements, ensuring the station meets its objectives and adheres to industry standards and regulatory requirements."
15,"Working Proprietor, Water Supply",1120.0300,1211.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Working Proprietor, Water Supply, is a professional who manages and operates water supply systems and infrastructure within a defined geographic area. This role typically involves overseeing the planning, construction, maintenance, and regulation of water resources, ensuring compliance with legal and safety standards. They are responsible for overseeing the operational efficiency of water distribution networks, including pipelines, treatment plants, and storage facilities.  The position requires a strong understanding of water law, engineering principles, and financial management, alongside leadership and decision-making capabilities."
16,"Working Proprietor, Wholesale Trade/Proprietor, Wholesale Trade",1120.1900,1214.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The occupation of Working Proprietor, Wholesale Trade/Proprietor, Wholesale Trade encompasses individuals responsible for the day-to-day operations of wholesale businesses. These professionals oversee the purchasing, sales, and marketing of goods, establishing and maintaining relationships with clients and suppliers. They typically manage inventory, pricing strategies, and overall business profitability within a specific sector of the wholesale market. This role demands a combination of business acumen, logistical skills, and a strong understanding of market trends."
17,Account Director ( Advertising Agency),1120.3401,,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Account Director (Advertising Agency) is a senior management role responsible for overseeing the strategic planning and execution of advertising campaigns for diverse clients. This position requires a strong understanding of advertising principles, market trends, and client relationships.  They lead a team of creatives, strategists, and analysts, ensuring campaigns are delivered effectively within budget and timelines. The Account Director is ultimately accountable for the overall success of client advertising initiatives, driving revenue growth and brand awareness."
18,"Director, Electricity",1120.0400,1211.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Electricity is a senior leadership role focused on overseeing all aspects of electricity operations within a specific geographic region or organization. This position is responsible for strategic planning, resource allocation, and financial management pertaining to the generation, transmission, and distribution of electricity.  The Director, Electricity plays a critical role in ensuring the efficient and reliable delivery of electricity to the public, while maintaining strict adherence to safety regulations and environmental standards. They are accountable for optimizing operational performance and aligning with company objectives."
