sno,occupation_title,nco_2015,nco_2004,division,subdivision,group,family,description,embed_data
1,"General Manager, Bank",1211.0100,1307.10,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers,"General Manager, Bank belongs to the Finance Managers family under Business Services and Administration Managers group in the Managers division.","The occupation General Manager, Bank NCO 2015: 1211.0100, NCO 2004: 1307.10 belongs to division Managers, subdivision Administrative and Commercial Managers, group Business Services and Administration Managers, and family Finance Managers. Description: General Manager, Bank belongs to the Finance Managers family under Business Services and Administration Managers group in the Managers division."
2,"General Manager, Insurance",1211.0200,1307.20,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers,"General Manager, Insurance belongs to the Finance Managers family under Business Services and Administration Managers group in the Managers division.","The occupation General Manager, Insurance NCO 2015: 1211.0200, NCO 2004: 1307.20 belongs to division Managers, subdivision Administrative and Commercial Managers, group Business Services and Administration Managers, and family Finance Managers. Description: General Manager, Insurance belongs to the Finance Managers family under Business Services and Administration Managers group in the Managers division."
3,"Purser, Ship",1211.0300,1231.10,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers,"Purser, Ship belongs to the Finance Managers family under Business Services and Administration Managers group in the Managers division.","The occupation Purser, Ship NCO 2015: 1211.0300, NCO 2004: 1231.10 belongs to division Managers, subdivision Administrative and Commercial Managers, group Business Services and Administration Managers, and family Finance Managers. Description: Purser, Ship belongs to the Finance Managers family under Business Services and Administration Managers group in the Managers division."
4,"Finance Managers, Others",1211.9900,1231.9,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers,"Finance Managers, Others belongs to the Finance Managers family under Business Services and Administration Managers group in the Managers division.","The occupation Finance Managers, Others NCO 2015: 1211.9900, NCO 2004: 1231.9 belongs to division Managers, subdivision Administrative and Commercial Managers, group Business Services and Administration Managers, and family Finance Managers. Description: Finance Managers, Others belongs to the Finance Managers family under Business Services and Administration Managers group in the Managers division."
5,"Director, Quarry",1120.1500,1213.70,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Quarry belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Quarry NCO 2015: 1120.1500, NCO 2004: 1213.70 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Quarry belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
6,Executive Chef,1120.3100,1217.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,Executive Chef belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.,"The occupation Executive Chef NCO 2015: 1120.3100, NCO 2004: 1217.30 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Executive Chef belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
7,"Director, Well Drilling",1120.1600,1213.80,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Well Drilling belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Well Drilling NCO 2015: 1120.1600, NCO 2004: 1213.80 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Well Drilling belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
8,"Working Proprietor, Recreation and Entertainment",1120.3200,1218.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Recreation and Entertainment belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Working Proprietor, Recreation and Entertainment NCO 2015: 1120.3200, NCO 2004: 1218.10 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Recreation and Entertainment belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
9,"Working Proprietor, Electricity",1120.0100,1211.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Electricity belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Working Proprietor, Electricity NCO 2015: 1120.0100, NCO 2004: 1211.10 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Electricity belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
10,"Working Proprietor, Manufacturing/Proprietor, Manufacturing",1120.1700,1214.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Manufacturing/Proprietor, Manufacturing belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Working Proprietor, Manufacturing/Proprietor, Manufacturing NCO 2015: 1120.1700, NCO 2004: 1214.10 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Manufacturing/Proprietor, Manufacturing belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
